{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.4, 'depth_limit': 9, 'num_trees': 7} 0.9187641296156744
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.5, 'depth_limit': 9, 'num_trees': 7} 0.9225320271288622
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.7, 'depth_limit': 9, 'num_trees': 7} 0.9234363225320271
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.4, 'depth_limit': 9, 'num_trees': 7} 0.9211755840241145
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.5, 'depth_limit': 9, 'num_trees': 7} 0.9279577995478523
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.7, 'depth_limit': 9, 'num_trees': 7} 0.9267520723436322
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.4, 'depth_limit': 9, 'num_trees': 7} 0.920723436322532
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.5, 'depth_limit': 9, 'num_trees': 7} 0.9294649585531273
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.7, 'depth_limit': 9, 'num_trees': 7} 0.9278070836473248
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.4, 'depth_limit': 12, 'num_trees': 7} 0.936850037678975
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.5, 'depth_limit': 12, 'num_trees': 7} 0.9443858327053505
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.7, 'depth_limit': 12, 'num_trees': 7} 0.9490580256217032
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.4, 'depth_limit': 12, 'num_trees': 7} 0.9370007535795025
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.5, 'depth_limit': 12, 'num_trees': 7} 0.9458929917106256
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.7, 'depth_limit': 12, 'num_trees': 7} 0.944536548605878
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.4, 'depth_limit': 12, 'num_trees': 7} 0.9395629238884702
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.5, 'depth_limit': 12, 'num_trees': 7} 0.9449886963074604
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.7, 'depth_limit': 12, 'num_trees': 7} 0.9496608892238132
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.4, 'depth_limit': 15, 'num_trees': 7} 0.9392614920874152
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.5, 'depth_limit': 15, 'num_trees': 7} 0.9428786737000753
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.7, 'depth_limit': 15, 'num_trees': 7} 0.9448379804069329
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.4, 'depth_limit': 15, 'num_trees': 7} 0.9412207987942727
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.5, 'depth_limit': 15, 'num_trees': 7} 0.9461944235116805
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.7, 'depth_limit': 15, 'num_trees': 7} 0.9461944235116805
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.4, 'depth_limit': 15, 'num_trees': 7} 0.9475508666164281
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.5, 'depth_limit': 15, 'num_trees': 7} 0.9516201959306707
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.7, 'depth_limit': 15, 'num_trees': 7} 0.9579502637528259
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.4, 'depth_limit': 9, 'num_trees': 9} 0.919216277317257
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.5, 'depth_limit': 9, 'num_trees': 9} 0.9175584024114544
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.7, 'depth_limit': 9, 'num_trees': 9} 0.9297663903541824
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.4, 'depth_limit': 9, 'num_trees': 9} 0.9237377543330823
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.5, 'depth_limit': 9, 'num_trees': 9} 0.9336850037678974
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.7, 'depth_limit': 9, 'num_trees': 9} 0.9306706857573473
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.4, 'depth_limit': 9, 'num_trees': 9} 0.922230595327807
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.5, 'depth_limit': 9, 'num_trees': 9} 0.9345892991710626
{'example_subsample_rate': 0.7, 'attr_subsample_rate': 0.7, 'depth_limit': 9, 'num_trees': 9} 0.9409193669932178
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.4, 'depth_limit': 12, 'num_trees': 9} 0.9398643556895252
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.5, 'depth_limit': 12, 'num_trees': 9} 0.9451394122079879
{'example_subsample_rate': 0.5, 'attr_subsample_rate': 0.7, 'depth_limit': 12, 'num_trees': 9} 0.947249434815373
{'example_subsample_rate': 0.6, 'attr_subsample_rate': 0.4, 'depth_limit': 12, 'num_trees': 9} 0.9422758100979653
